iter	RMSE
0	1362.324146
1	1340.904931
2	1321.493427
3	1303.192827
4	1286.662138
5	1270.959644
6	1256.471748
7	1243.097434
8	1230.852941
9	1219.754049
10	1210.158381
11	1200.956832
12	1192.637429
13	1184.928202
14	1177.703293
15	1170.864792
16	1164.849803
17	1159.448024
18	1154.247667
19	1149.639526
20	1145.356845
21	1141.335738
22	1137.635367
23	1134.57788
24	1131.50282
25	1128.561502
26	1125.937545
27	1123.311153
28	1121.291847
29	1119.189191
30	1117.302356
31	1115.585776
32	1113.991554
33	1112.387613
34	1110.957036
35	1109.614707
36	1108.360421
37	1107.181273
38	1106.161769
39	1105.200183
40	1104.241566
41	1103.408686
42	1102.453951
43	1101.622034
44	1100.786377
45	1099.952664
46	1099.246843
47	1098.58016
48	1098.022948
49	1097.510521
50	1096.915242
51	1096.291273
52	1095.730796
53	1095.302944
54	1094.861876
55	1094.437995
56	1094.06361
57	1093.598462
58	1093.224312
59	1092.813945
60	1092.450601
61	1092.143532
62	1091.670543
63	1091.308342
64	1091.019435
65	1090.727043
66	1090.434806
67	1090.152142
68	1089.82083
69	1089.559256
70	1089.254922
71	1089.044829
72	1088.818099
73	1088.578095
74	1088.291016
75	1088.029471
76	1087.761857
77	1087.455734
78	1087.201347
79	1087.009864
80	1086.729706
81	1086.477659
82	1086.251802
83	1086.070669
84	1085.905178
85	1085.733336
86	1085.495881
87	1085.316229
88	1085.173453
89	1084.996605
90	1084.806876
91	1084.61983
92	1084.430046
93	1084.241283
94	1084.037293
95	1083.876677
96	1083.735929
97	1083.555775
98	1083.397263
99	1083.199955
100	1082.977155
101	1082.795059
102	1082.562602
103	1082.298641
104	1082.112949
105	1081.903095
106	1081.7956
107	1081.653794
108	1081.555283
109	1081.406374
110	1081.233646
111	1081.028536
112	1080.874221
113	1080.711924
114	1080.551965
115	1080.334088
116	1080.163256
117	1080.002998
118	1079.882125
119	1079.745413
120	1079.575026
121	1079.330158
122	1079.181398
123	1079.027829
124	1078.909962
125	1078.774863
126	1078.646606
127	1078.468693
128	1078.369422
129	1078.181039
130	1078.083246
131	1077.883198
132	1077.67083
133	1077.468774
134	1077.28754
135	1077.161372
136	1077.032277
137	1076.904288
138	1076.814372
139	1076.690304
140	1076.553269
141	1076.430629
142	1076.292437
143	1076.148633
144	1076.024876
145	1075.877593
146	1075.724089
147	1075.619378
148	1075.519786
149	1075.366081
150	1075.210454
151	1075.039383
152	1074.92458
153	1074.842945
154	1074.685167
155	1074.532929
156	1074.425825
157	1074.33001
158	1074.218685
159	1074.111097
160	1073.94157
161	1073.765963
162	1073.658668
163	1073.498125
164	1073.343445
165	1073.211539
166	1073.110991
167	1073.015239
168	1072.885347
169	1072.776055
170	1072.638496
171	1072.502358
172	1072.373802
173	1072.200752
174	1072.129643
175	1071.970754
176	1071.791834
177	1071.604253
178	1071.480992
179	1071.291807
180	1071.178671
181	1071.020595
182	1070.82495
183	1070.656631
184	1070.492911
185	1070.375082
186	1070.221014
187	1070.023864
188	1069.815917
189	1069.713176
190	1069.606097
191	1069.468058
192	1069.316937
193	1069.202714
194	1069.11497
195	1068.997891
196	1068.932077
197	1068.834943
198	1068.734781
199	1068.624744
200	1068.496008
201	1068.373625
202	1068.204001
203	1068.106791
204	1068.017369
205	1067.880747
206	1067.745121
207	1067.65804
208	1067.572989
209	1067.480443
210	1067.365656
211	1067.223363
212	1067.087301
213	1067.020296
214	1066.867799
215	1066.739289
216	1066.644338
217	1066.529001
218	1066.379769
219	1066.2601
220	1066.151723
221	1066.013838
222	1065.897357
223	1065.796868
224	1065.698256
225	1065.58014
226	1065.451091
227	1065.325935
228	1065.200716
229	1065.035085
230	1064.910298
231	1064.77933
232	1064.604756
233	1064.456207
234	1064.285815
235	1064.194744
236	1064.081188
237	1064.011457
238	1063.899179
239	1063.758194
240	1063.587785
241	1063.469901
242	1063.32546
243	1063.157425
244	1063.046569
245	1062.958618
246	1062.842602
247	1062.749708
248	1062.619161
249	1062.509976
250	1062.429289
251	1062.313571
252	1062.099788
253	1062.013071
254	1061.887514
255	1061.774302
256	1061.657389
257	1061.5474
258	1061.392526
259	1061.288368
260	1061.167616
261	1061.05237
262	1060.959304
263	1060.821103
264	1060.737799
265	1060.552207
266	1060.460894
267	1060.34664
268	1060.213911
269	1060.100157
270	1059.98753
271	1059.830506
272	1059.729395
273	1059.631923
274	1059.48729
275	1059.408132
276	1059.298034
277	1059.162099
278	1059.020994
279	1058.912516
280	1058.805765
281	1058.651099
282	1058.491723
283	1058.349013
284	1058.249675
285	1058.132105
286	1057.976333
287	1057.804629
288	1057.718063
289	1057.579893
290	1057.459089
291	1057.294768
292	1057.164255
293	1057.015984
294	1056.8848
295	1056.784086
296	1056.672985
297	1056.605269
298	1056.54628
299	1056.441387
300	1056.337096
301	1056.128647
302	1055.996343
303	1055.854746
304	1055.735724
305	1055.64867
306	1055.554152
307	1055.438352
308	1055.356629
309	1055.164802
310	1055.040964
311	1054.937399
312	1054.795078
313	1054.654186
314	1054.54458
315	1054.390745
316	1054.24645
317	1054.152411
318	1054.03228
319	1053.898349
320	1053.720096
321	1053.62693
322	1053.483119
323	1053.26917
324	1053.175353
325	1053.029544
326	1052.951354
327	1052.818097
328	1052.721605
329	1052.633286
330	1052.560806
331	1052.380226
332	1052.296187
333	1052.153102
334	1052.067358
335	1051.958745
336	1051.869731
337	1051.785466
338	1051.714815
339	1051.620966
340	1051.512095
341	1051.419191
342	1051.280787
343	1051.136835
344	1051.067345
345	1050.959838
346	1050.878499
347	1050.734515
348	1050.643239
349	1050.549398
350	1050.449551
351	1050.363921
352	1050.271955
353	1050.128901
354	1050.032982
355	1049.979561
356	1049.860149
357	1049.778535
358	1049.682031
359	1049.610007
360	1049.473152
361	1049.393938
362	1049.295156
363	1049.100381
364	1048.973186
365	1048.84363
366	1048.74804
367	1048.595191
368	1048.504644
369	1048.436014
370	1048.234557
371	1048.174352
372	1048.067961
373	1047.910553
374	1047.752431
375	1047.661314
376	1047.519518
377	1047.383774
378	1047.300323
379	1047.187337
380	1047.080088
381	1046.979802
382	1046.845196
383	1046.756182
384	1046.60134
385	1046.539417
386	1046.431388
387	1046.366004
388	1046.289811
389	1046.196562
390	1046.091462
391	1046.011868
392	1045.957282
393	1045.827118
394	1045.683443
395	1045.531236
396	1045.430517
397	1045.283025
398	1045.18172
399	1045.02585
400	1044.915068
401	1044.794993
402	1044.689205
403	1044.599589
404	1044.51052
405	1044.426333
406	1044.34678
407	1044.243488
408	1044.150796
409	1044.074355
410	1043.996813
411	1043.871164
412	1043.748647
413	1043.537117
414	1043.401019
415	1043.306362
416	1043.228382
417	1043.138234
418	1043.012136
419	1042.895654
420	1042.774398
421	1042.61658
422	1042.534199
423	1042.396761
424	1042.33885
425	1042.250079
426	1042.120737
427	1042.022798
428	1041.8653
429	1041.710174
430	1041.607376
431	1041.516217
432	1041.441346
433	1041.377487
434	1041.283751
435	1041.141162
436	1041.06135
437	1040.929448
438	1040.799631
439	1040.718423
440	1040.571958
441	1040.441788
442	1040.332958
443	1040.241874
444	1040.096004
445	1039.945682
446	1039.877747
447	1039.821358
448	1039.734088
449	1039.635053
450	1039.501748
451	1039.422459
452	1039.294127
453	1039.18321
454	1039.120927
455	1039.061596
456	1038.886642
457	1038.817725
458	1038.734047
459	1038.616474
460	1038.466359
461	1038.282285
462	1038.196029
463	1038.06681
