iter	Passed	Remaining
0	9	4689
1	17	4414
2	26	4448
3	35	4368
4	43	4288
5	50	4164
6	58	4104
7	65	4057
8	72	3970
9	80	3923
10	87	3874
11	94	3828
12	101	3794
13	108	3756
14	115	3735
15	123	3725
16	131	3725
17	138	3709
18	145	3696
19	154	3706
20	163	3740
21	172	3747
22	180	3745
23	188	3737
24	195	3716
25	203	3701
26	210	3691
27	218	3680
28	225	3665
29	232	3649
30	240	3632
31	246	3612
32	254	3597
33	261	3585
34	270	3590
35	280	3611
36	287	3594
37	294	3579
38	301	3559
39	308	3545
40	315	3531
41	322	3518
42	329	3505
43	337	3494
44	344	3479
45	351	3466
46	358	3455
47	365	3443
48	373	3436
49	380	3427
50	388	3419
51	395	3409
52	403	3401
53	410	3390
54	417	3374
55	424	3363
56	430	3348
57	437	3335
58	444	3319
59	450	3305
60	457	3293
61	465	3289
62	473	3286
63	481	3277
64	487	3263
65	494	3251
66	501	3239
67	507	3226
68	515	3217
69	522	3209
70	529	3200
71	536	3189
72	543	3179
73	550	3170
74	557	3160
75	564	3149
76	571	3140
77	579	3132
78	586	3123
79	593	3115
80	600	3108
81	607	3098
82	614	3086
83	621	3075
84	628	3066
85	634	3056
86	642	3047
87	648	3038
88	655	3028
89	662	3018
90	669	3010
91	678	3009
92	686	3003
93	693	2993
94	700	2984
95	707	2976
96	714	2968
97	721	2959
98	728	2949
99	734	2939
100	742	2933
101	749	2924
102	756	2916
103	764	2910
104	771	2902
105	779	2898
106	786	2889
107	793	2879
108	800	2870
109	807	2862
110	814	2854
111	822	2848
112	829	2840
113	835	2830
114	842	2820
115	849	2812
116	857	2805
117	864	2797
118	871	2791
119	879	2783
120	886	2777
121	895	2773
122	902	2765
123	908	2756
124	915	2747
125	922	2739
126	929	2730
127	937	2724
128	944	2717
129	952	2711
130	959	2703
131	966	2695
132	974	2687
133	981	2681
134	988	2672
135	995	2663
136	1002	2655
137	1009	2647
138	1016	2639
139	1023	2632
140	1030	2623
141	1037	2615
142	1044	2606
143	1051	2600
144	1059	2592
145	1066	2585
146	1073	2577
147	1080	2569
148	1087	2562
149	1094	2554
150	1102	2547
151	1108	2538
152	1115	2531
153	1123	2523
154	1130	2515
155	1137	2507
156	1144	2499
157	1151	2491
158	1158	2484
159	1165	2476
160	1172	2467
161	1179	2460
162	1186	2453
163	1194	2446
164	1201	2439
165	1208	2432
166	1215	2424
167	1222	2416
168	1229	2408
169	1236	2400
170	1243	2393
171	1251	2385
172	1258	2378
173	1265	2370
174	1271	2362
175	1278	2354
176	1286	2347
177	1293	2339
178	1302	2335
179	1309	2328
180	1316	2320
181	1323	2313
182	1330	2305
183	1337	2296
184	1344	2289
185	1351	2282
186	1359	2275
187	1366	2268
188	1374	2260
189	1381	2253
190	1388	2246
191	1395	2238
192	1402	2231
193	1409	2223
194	1416	2216
195	1423	2208
196	1431	2202
197	1439	2195
198	1446	2188
199	1453	2180
200	1460	2172
201	1467	2164
202	1474	2156
203	1481	2148
204	1487	2141
205	1494	2133
206	1501	2126
207	1508	2117
208	1515	2110
209	1522	2102
210	1529	2094
211	1536	2087
212	1543	2080
213	1551	2073
214	1558	2065
215	1565	2058
216	1572	2050
