Model,MAE,RMSE,MAPE
CNN_LSTM,532.7896555514059,693.459358400044,5.5550897283134955
RandomForest,550.1022059560407,713.9665513422351,5.798424918535037
GRU,604.3347389303079,760.0140660239398,6.286092985363781
LSTM,610.3389675569467,762.4017512869935,6.292700040390592
CNN,597.2872000311328,784.3886372120927,6.323021493638588
XGBoost,777.5387822870055,968.7656096463463,8.185201651810374
CatBoost,837.9893344115528,1031.8333734217356,8.809817885852382
BPNN,890.0442788397077,1087.4932934683818,9.455627530660536
SVM,1121.918361333291,1341.0012017231493,11.771882067531802
ARIMA,1174.0480905158906,1430.2471389648913,12.855821046740811
